PROVINCE,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region I - Ilocos Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Total Western Visayas," 1,434 "," 1,270 "," 1,771 "," 1,598 "," 1,792 "," 2,097 "," 1,970 "," 1,533 "," 1,700 "," 1,604 "," 1,189 "," 1,141 "," 1,568 "," 1,730 "," 2,123 "," 2,063 "," 2,584 "," 2,467 "," 3,358 "," 2,807 "," 2,339 "," 2,573 "," 3,012 "," 3,013 "," 3,344 "," 2,891 "," 3,551 "," 4,119 "," 3,617 "," 3,223 "," 3,498 "," 2,833 ", 652 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region VII - Central Visayas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOHOL, 204 , 219 , 250 , 254 , 283 , 290 , 310 , 255 , 274 , 346 , 266 , 252 , 319 , 361 , 389 , 408 , 543 , 586 , 655 , 612 , 536 , 536 , 548 , 654 , 683 , 673 , 678 , 891 , 828 , 760 , 772 , 712 , 156 
CEBU," 1,840 "," 1,838 "," 2,007 "," 2,218 "," 2,408 "," 2,641 "," 2,317 "," 1,893 "," 2,127 "," 2,037 "," 1,531 "," 1,795 "," 2,237 "," 2,481 "," 3,304 "," 2,865 "," 3,298 "," 3,805 "," 4,836 "," 4,200 "," 3,411 "," 3,842 "," 3,953 "," 3,976 "," 4,373 "," 4,037 "," 4,091 "," 4,538 "," 4,752 "," 4,399 "," 3,966 "," 3,704 ", 941 
NEGROS ORIENTAL, 197 , 165 , 244 , 230 , 293 , 343 , 323 , 201 , 273 , 294 , 228 , 267 , 288 , 311 , 403 , 399 , 428 , 461 , 697 , 522 , 384 , 471 , 570 , 542 , 591 , 516 , 545 , 649 , 646 , 561 , 600 , 537 , 112 
SIQUIJOR, 54 , 54 , 98 , 52 , 52 , 72 , 71 , 70 , 50 , 63 , 39 , 40 , 57 , 78 , 65 , 66 , 70 , 60 , 68 , 64 , 60 , 68 , 63 , 78 , 64 , 55 , 69 , 71 , 70 , 58 , 91 , 65 , 12 
Sub-Total Central Visayas," 2,295 "," 2,276 "," 2,599 "," 2,754 "," 3,036 "," 3,346 "," 3,021 "," 2,419 "," 2,724 "," 2,740 "," 2,064 "," 2,354 "," 2,901 "," 3,231 "," 4,161 "," 3,738 "," 4,339 "," 4,912 "," 6,256 "," 5,398 "," 4,391 "," 4,917 "," 5,134 "," 5,250 "," 5,711 "," 5,281 "," 5,383 "," 6,149 "," 6,296 "," 5,778 "," 5,429 "," 5,018 "," 1,221 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region VIII - Eastern Visayas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILIRAN, 20 , 18 , 24 , 28 , 17 , 38 , 25 , 16 , 31 , 20 , 14 , 33 , 29 , 16 , 24 , 19 , 34 , 30 , 31 , 61 , 64 , 73 , 64 , 72 , 72 , 87 , 68 , 87 , 105 , 84 , 69 , 87 , 13 
EASTERN SAMAR, 44 , 40 , 28 , 45 , 67 , 44 , 52 , 43 , 54 , 57 , 43 , 29 , 23 , 43 , 35 , 31 , 59 , 47 , 54 , 63 , 64 , 88 , 102 , 117 , 181 , 127 , 169 , 139 , 106 , 151 , 116 , 111 , 26 
